Date,Open,High,Low,Close,Adj Close,Volume,Previous_open,Previous_high,Previous_low
28-10-2021,58470.73047,62128.63281,58206.91797,60622.13672,60622.13672,45257083247.00,60352,61435.18359,58208.1875
29-10-2021,60624.87109,62927.60938,60329.96484,62227.96484,62227.96484,36856881767.00,58470.73047,62128.63281,58206.91797
30-10-2021,62239.36328,62330.14453,60918.38672,61888.83203,61888.83203,32157938616.00,60624.87109,62927.60938,60329.96484
31-10-2021,61850.48828,62406.17188,60074.32813,61318.95703,61318.95703,32241199927.00,62239.36328,62330.14453,60918.38672
01-11-2021,61320.44922,62419.00391,59695.18359,61004.40625,61004.40625,36150572843.00,61850.48828,62406.17188,60074.32813
02-11-2021,60963.25391,64242.79297,60673.05469,63226.40234,63226.40234,37746665647.00,61320.44922,62419.00391,59695.18359
03-11-2021,63254.33594,63516.9375,61184.23828,62970.04688,62970.04688,36124731509.00,60963.25391,64242.79297,60673.05469
04-11-2021,62941.80469,63123.28906,60799.66406,61452.23047,61452.23047,32615846901.00,63254.33594,63516.9375,61184.23828
05-11-2021,61460.07813,62541.46875,60844.60938,61125.67578,61125.67578,30605102446.00,62941.80469,63123.28906,60799.66406
06-11-2021,61068.875,61590.68359,60163.78125,61527.48047,61527.48047,29094934221.00,61460.07813,62541.46875,60844.60938
07-11-2021,61554.92188,63326.98828,61432.48828,63326.98828,63326.98828,24726754302.00,61068.875,61590.68359,60163.78125
08-11-2021,63344.06641,67673.74219,63344.06641,67566.82813,67566.82813,41125608330.00,61554.92188,63326.98828,61432.48828
09-11-2021,67549.73438,68530.33594,66382.0625,66971.82813,66971.82813,42357991721.00,63344.06641,67673.74219,63344.06641
10-11-2021,66953.33594,68789.625,63208.11328,64995.23047,64995.23047,48730828378.00,67549.73438,68530.33594,66382.0625
11-11-2021,64978.89063,65579.01563,64180.48828,64949.96094,64949.96094,35880633236.00,66953.33594,68789.625,63208.11328
12-11-2021,64863.98047,65460.81641,62333.91406,64155.94141,64155.94141,36084893887.00,64978.89063,65579.01563,64180.48828
13-11-2021,64158.12109,64915.67578,63303.73438,64469.52734,64469.52734,30474228777.00,64863.98047,65460.81641,62333.91406
14-11-2021,64455.37109,65495.17969,63647.80859,65466.83984,65466.83984,25122092191.00,64158.12109,64915.67578,63303.73438
15-11-2021,65521.28906,66281.57031,63548.14453,63557.87109,63557.87109,30558763548.00,64455.37109,65495.17969,63647.80859
16-11-2021,63721.19531,63721.19531,59016.33594,60161.24609,60161.24609,46844335592.00,65521.28906,66281.57031,63548.14453
17-11-2021,60139.62109,60823.60938,58515.41016,60368.01172,60368.01172,39178392930.00,63721.19531,63721.19531,59016.33594
18-11-2021,60360.13672,60948.5,56550.79297,56942.13672,56942.13672,41388338699.00,60139.62109,60823.60938,58515.41016
19-11-2021,56896.12891,58351.11328,55705.17969,58119.57813,58119.57813,38702407772.00,60360.13672,60948.5,56550.79297
20-11-2021,58115.08203,59859.87891,57469.72656,59697.19531,59697.19531,30624264863.00,56896.12891,58351.11328,55705.17969
21-11-2021,59730.50781,60004.42578,58618.92969,58730.47656,58730.47656,26123447605.00,58115.08203,59859.87891,57469.72656
22-11-2021,58706.84766,59266.35938,55679.83984,56289.28906,56289.28906,35036121783.00,59730.50781,60004.42578,58618.92969
23-11-2021,56304.55469,57875.51563,55632.76172,57569.07422,57569.07422,37485803899.00,58706.84766,59266.35938,55679.83984
24-11-2021,57565.85156,57803.06641,55964.22266,56280.42578,56280.42578,36635566789.00,56304.55469,57875.51563,55632.76172
25-11-2021,57165.41797,59367.96875,57146.68359,57274.67969,57274.67969,34284016248.00,57565.85156,57803.06641,55964.22266
26-11-2021,58960.28516,59183.48047,53569.76563,53569.76563,53569.76563,41810748221.00,57165.41797,59367.96875,57146.68359
27-11-2021,53736.42969,55329.25781,53668.35547,54815.07813,54815.07813,30560857714.00,58960.28516,59183.48047,53569.76563
28-11-2021,54813.02344,57393.84375,53576.73438,57248.45703,57248.45703,28116886357.00,53736.42969,55329.25781,53668.35547
29-11-2021,57291.90625,58872.87891,56792.52734,57806.56641,57806.56641,32370840356.00,54813.02344,57393.84375,53576.73438
30-11-2021,57830.11328,59113.40234,56057.28125,57005.42578,57005.42578,36708594618.00,57291.90625,58872.87891,56792.52734
01-12-2021,56907.96484,59041.68359,56553.08203,57229.82813,57229.82813,36858195307.00,57830.11328,59113.40234,56057.28125
02-12-2021,57217.37109,57349.23438,55895.13281,56477.81641,56477.81641,32379968686.00,56907.96484,59041.68359,56553.08203
03-12-2021,56509.16406,57482.16797,52496.58594,53598.24609,53598.24609,39789134215.00,57217.37109,57349.23438,55895.13281
04-12-2021,53727.87891,53904.67969,42874.61719,49200.70313,49200.70313,61385677469.00,56509.16406,57482.16797,52496.58594
05-12-2021,49201.51953,49768.14844,47857.49609,49368.84766,49368.84766,37198201161.00,53727.87891,53904.67969,42874.61719
06-12-2021,49413.48047,50929.51953,47281.03516,50582.625,50582.625,37707308001.00,49201.51953,49768.14844,47857.49609
07-12-2021,50581.82813,51934.78125,50175.80859,50700.08594,50700.08594,33676814852.00,49413.48047,50929.51953,47281.03516
08-12-2021,50667.64844,51171.375,48765.98828,50504.79688,50504.79688,28479699446.00,50581.82813,51934.78125,50175.80859
09-12-2021,50450.08203,50797.16406,47358.35156,47672.12109,47672.12109,29603577251.00,50667.64844,51171.375,48765.98828
10-12-2021,47642.14453,50015.25391,47023.69922,47243.30469,47243.30469,30966005122.00,50450.08203,50797.16406,47358.35156
11-12-2021,47264.63281,49458.21094,46942.34766,49362.50781,49362.50781,25775869261.00,47642.14453,50015.25391,47023.69922
12-12-2021,49354.85547,50724.86719,48725.85156,50098.33594,50098.33594,21939223599.00,47264.63281,49458.21094,46942.34766
13-12-2021,50114.74219,50205,45894.84766,46737.48047,46737.48047,32166727776.00,49354.85547,50724.86719,48725.85156
14-12-2021,46709.82422,48431.39844,46424.49609,46612.63281,46612.63281,34638619079.00,50114.74219,50205,45894.84766
15-12-2021,48379.75391,49473.95703,46671.96484,48896.72266,48896.72266,36541828520.00,46709.82422,48431.39844,46424.49609
